                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84335,                0.39306,                 1.0332,                0.94884,                0.87992,                0.90689,                0.51341,                 1.5645,                0.58241,                 1.5284,               0.005512,               0.005512,               0.005512
                     36,                0.84535,                0.39371,                 1.0279,                 0.9234,                0.86385,                0.90043,                0.51367,                 1.5651,                0.61317,                 1.5406,                0.00538,                0.00538,                0.00538
                     37,                0.83177,                0.38838,                 1.0256,                0.95119,                 0.8754,                0.91563,                0.52178,                 1.5411,                0.58857,                 1.5313,               0.005248,               0.005248,               0.005248
                     38,                 0.8227,                0.37692,                 1.0124,                0.96172,                0.86572,                0.91338,                0.52268,                 1.5464,                0.58493,                 1.5053,               0.005116,               0.005116,               0.005116
                     39,                0.81261,                 0.3756,                 1.0124,                0.95038,                0.88121,                0.91382,                0.53237,                  1.519,                0.56266,                  1.502,               0.004984,               0.004984,               0.004984
                     40,                0.81604,                0.37438,                 1.0104,                0.95759,                 0.8683,                0.91174,                0.52926,                 1.5179,                0.57698,                 1.4969,               0.004852,               0.004852,               0.004852
                     41,                0.80202,                0.36875,                 1.0023,                0.96501,                 0.8683,                0.91952,                0.53906,                 1.5257,                0.57161,                 1.5066,                0.00472,                0.00472,                0.00472
                     42,                0.80267,                0.36403,                 1.0076,                0.93855,                0.88509,                0.91069,                0.51246,                 1.5535,                0.57854,                  1.537,               0.004588,               0.004588,               0.004588
                     43,                0.79244,                 0.3589,                 1.0073,                0.95742,                0.87153,                0.90651,                0.52669,                 1.5438,                0.58841,                 1.5403,               0.004456,               0.004456,               0.004456
                     44,                0.79198,                0.36014,                 1.0077,                 0.9429,                0.88832,                0.92264,                0.52471,                  1.547,                0.55534,                 1.5336,               0.004324,               0.004324,               0.004324
                     45,                0.77684,                0.35984,                0.99512,                0.94932,                0.87218,                0.91008,                0.52662,                  1.545,                0.57631,                 1.5352,               0.004192,               0.004192,               0.004192
                     46,                0.77987,                0.35698,                 1.0004,                0.95959,                0.87347,                0.91678,                  0.525,                 1.5272,                0.56878,                 1.5149,                0.00406,                0.00406,                0.00406
                     47,                0.77644,                 0.3481,                0.99755,                0.96366,                0.87282,                0.92156,                0.54858,                 1.5177,                 0.5734,                 1.5003,               0.003928,               0.003928,               0.003928
                     48,                0.77126,                 0.3501,                0.99282,                0.96713,                0.87385,                0.91758,                0.53811,                 1.5154,                 0.5579,                 1.5073,               0.003796,               0.003796,               0.003796
                     49,                0.76036,                0.34417,                0.98775,                0.94467,                0.87024,                0.90121,                0.52359,                 1.5186,                0.56578,                 1.5145,               0.003664,               0.003664,               0.003664
                     50,                0.74387,                0.34041,                0.97785,                0.94803,                0.87734,                0.91886,                0.54483,                 1.5233,                 0.5655,                 1.5106,               0.003532,               0.003532,               0.003532
                     51,                0.74916,                 0.3378,                0.98466,                0.96536,                0.86056,                 0.9179,                0.54491,                 1.5291,                0.56245,                 1.5145,                 0.0034,                 0.0034,                 0.0034
                     52,                0.74066,                0.33572,                0.98081,                0.94455,                0.88057,                0.91059,                0.53867,                 1.5168,                0.56045,                 1.5073,               0.003268,               0.003268,               0.003268
                     53,                0.72936,                0.33115,                 0.9777,                0.95899,                0.87476,                0.91782,                 0.5461,                 1.5077,                0.54805,                 1.5311,               0.003136,               0.003136,               0.003136
                     54,                0.73047,                0.33055,                0.97842,                0.94565,                0.88739,                0.91141,                  0.521,                 1.5351,                0.55508,                 1.5251,               0.003004,               0.003004,               0.003004
                     55,                0.73056,                0.32805,                0.97336,                0.95297,                0.87605,                0.91639,                0.54854,                 1.5055,                0.56169,                    1.5,               0.002872,               0.002872,               0.002872
                     56,                0.71278,                0.31879,                0.96745,                0.95272,                0.88509,                0.91326,                0.53308,                 1.5252,                0.55744,                 1.5281,                0.00274,                0.00274,                0.00274
                     57,                0.70269,                0.32048,                0.96559,                0.96461,                0.87983,                0.91223,                0.53066,                 1.5033,                0.54354,                  1.527,               0.002608,               0.002608,               0.002608
